COMBUSTIBLE,CLASE,SERVICIO,DEPARTAMENTO,AÑO_REGISTRO,PESO,EJES,TOTAL_BATERIAS,DURABILIDAD_BATERIA,AÑO_REEMPLAZO,CAMBIOS_A_2050
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,0,0,3,2021,2650.0,2.0,1,9,2030,3
1,1,0,1,2021,2880.0,2.0,1,9,2030,3
1,1,0,1,2022,,,1,9,2031,3
1,1,0,2,2018,1320.0,2.0,1,8,2026,4
1,1,0,3,2020,1965.0,2.0,1,8,2028,3
1,1,0,2,2020,1965.0,2.0,1,9,2029,3
1,1,0,3,2018,1320.0,2.0,1,9,2027,3
1,0,0,3,2021,2000.0,2.0,1,8,2029,3
1,0,0,3,2022,2180.0,2.0,1,9,2031,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,3,2017,1290.0,2.0,1,8,2025,4
1,1,0,3,2018,1970.0,2.0,1,8,2026,4
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,1,0,3,2020,1365.0,2.0,1,9,2029,3
1,1,0,2,2015,1340.0,2.0,1,8,2023,4
1,0,0,3,2022,2177.0,2.0,1,9,2031,3
1,1,0,3,2015,1340.0,2.0,1,8,2023,4
1,1,0,1,2019,1965.0,2.0,1,9,2028,3
1,0,0,13,2022,2000.0,2.0,1,8,2030,3
1,0,0,2,2022,1870.0,2.0,1,9,2031,3
1,0,1,1,2019,2190.0,2.0,1,5,2024,6
1,0,0,3,2022,2180.0,2.0,1,8,2030,3
1,1,1,3,2015,0.0,2.0,1,5,2020,7
1,0,0,2,2021,,0.0,1,8,2029,3
1,0,0,3,2021,1966.0,2.0,1,9,2030,3
1,0,1,2,2021,,,1,5,2026,5
1,0,0,0,2022,2700.0,2.0,1,9,2031,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,3,2022,1630.0,2.0,1,9,2031,3
1,1,0,2,2019,1365.0,2.0,1,8,2027,3
1,0,0,3,2022,2177.0,2.0,1,8,2030,3
1,0,0,3,2021,1966.0,2.0,1,8,2029,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,1,0,3,2019,1365.0,2.0,1,8,2027,3
1,1,0,2,2018,1320.0,2.0,1,8,2026,4
1,0,1,3,2022,,,1,5,2027,5
1,0,0,2,2022,2440.0,2.0,1,8,2030,3
1,1,0,3,2022,1965.0,2.0,1,8,2030,3
1,1,0,3,2021,1700.0,2.0,1,9,2030,3
1,0,0,3,2022,2165.0,2.0,1,8,2030,3
1,1,0,2,2021,2275.0,2.0,1,8,2029,3
1,0,0,3,2022,2065.0,2.0,1,8,2030,3
1,0,0,2,2022,2420.0,2.0,1,8,2030,3
1,0,0,2,2022,2000.0,2.0,1,9,2031,3
1,0,0,0,2022,1980.0,2.0,1,8,2030,3
1,0,1,2,2021,,,1,5,2026,5
1,1,1,3,2013,0.0,2.0,1,5,2018,7
1,0,1,1,2022,2190.0,2.0,1,5,2027,5
1,1,0,3,2020,1690.0,2.0,1,9,2029,3
1,1,0,3,2022,1365.0,2.0,1,8,2030,3
1,0,1,1,2021,845.0,,1,5,2026,5
1,0,1,3,2020,2190.0,2.0,1,5,2025,6
1,0,0,3,2022,2595.0,2.0,1,9,2031,3
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,1,0,3,2022,1440.0,2.0,1,8,2030,3
1,0,0,3,2022,2165.0,2.0,1,8,2030,3
1,1,0,3,2016,1270.0,2.0,1,9,2025,3
1,0,0,3,2020,1870.0,2.0,1,9,2029,3
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,1,0,3,2022,1705.0,2.0,1,9,2031,3
1,0,0,2,2022,2440.0,2.0,1,9,2031,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,0,1,3,2021,2190.0,2.0,1,5,2026,5
1,1,0,1,2021,1965.0,2.0,1,9,2030,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,3,2020,1365.0,2.0,1,9,2029,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,12,2021,1445.0,2.0,1,9,2030,3
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,0,0,14,2022,2114.0,2.0,1,9,2031,3
1,1,0,1,2014,1950.0,2.0,1,8,2022,4
1,1,0,2,2020,1988.0,2.0,1,8,2028,3
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,0,0,3,2022,2595.0,2.0,1,8,2030,3
1,0,0,3,2022,2440.0,2.0,1,8,2030,3
1,1,0,7,2016,1340.0,2.0,1,8,2024,4
1,0,0,13,2022,2000.0,2.0,1,8,2030,3
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,1,1,3,2013,0.0,2.0,1,5,2018,7
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,1,0,1,2021,1625.0,2.0,1,9,2030,3
1,0,1,1,2020,2190.0,2.0,1,5,2025,6
1,0,0,3,2022,2420.0,2.0,1,8,2030,3
1,1,0,3,2020,2275.0,2.0,1,9,2029,3
1,0,0,3,2022,2298.0,2.0,1,8,2030,3
1,1,1,2,2022,2275.0,2.0,1,5,2027,5
1,0,0,2,2022,2180.0,2.0,1,9,2031,3
1,1,0,3,2015,1340.0,2.0,1,9,2024,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,1,0,3,2022,1815.0,2.0,1,8,2030,3
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,0,0,2,2022,0.0,0.0,1,9,2031,3
1,0,1,3,2022,,,1,5,2027,5
1,0,0,3,2021,1955.0,2.0,1,8,2029,3
1,0,1,1,2022,2190.0,2.0,1,5,2027,5
1,0,1,1,2022,4495.0,2.0,1,5,2027,5
1,1,0,3,2020,1345.0,2.0,1,8,2028,3
1,0,0,3,2021,1825.0,2.0,1,9,2030,3
1,1,0,1,2022,,,1,9,2031,3
1,1,0,2,2021,1965.0,2.0,1,8,2029,3
1,1,0,3,2021,1445.0,2.0,1,8,2029,3
1,0,0,2,2020,1870.0,2.0,1,9,2029,3
1,1,0,3,2020,1345.0,2.0,1,8,2028,3
1,0,1,2,2021,2550.0,2.0,1,5,2026,5
1,1,0,3,2015,1340.0,2.0,1,9,2024,3
1,1,0,3,2018,1970.0,2.0,1,9,2027,3
1,1,0,3,2017,1320.0,2.0,1,9,2026,3
1,1,0,2,2022,1555.0,2.0,1,8,2030,3
1,0,0,3,2021,2000.0,2.0,1,8,2029,3
1,1,0,2,2018,1970.0,0.0,1,9,2027,3
1,0,1,1,2022,4495.0,,1,5,2027,5
1,1,0,2,2019,1988.0,2.0,1,9,2028,3
1,1,0,3,2017,1270.0,2.0,1,8,2025,4
1,1,0,1,2020,1988.0,2.0,1,9,2029,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,0,1,3,2022,2550.0,2.0,1,5,2027,5
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,1,0,2,2019,1965.0,2.0,1,9,2028,3
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,1,0,3,2017,690.0,2.0,1,9,2026,3
1,1,0,3,2021,1365.0,2.0,1,9,2030,3
1,1,0,3,2022,1440.0,2.0,1,8,2030,3
1,0,0,1,2021,1955.0,2.0,1,9,2030,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,1,2018,1320.0,2.0,1,8,2026,4
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,0,0,7,2015,1505.0,2.0,1,9,2024,3
1,0,1,2,2020,4495.0,2.0,1,5,2025,6
1,0,1,1,2022,,,1,5,2027,5
1,1,0,7,2020,1988.0,2.0,1,9,2029,3
1,0,0,3,2022,2180.0,2.0,1,8,2030,3
1,0,1,1,2022,4495.0,0.0,1,5,2027,5
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,1,0,2,2015,690.0,2.0,1,9,2024,3
